ID,Row,UID,Gen,Geno,F1Num,Scale,Photo,biomass,max_width,width_0,width_10,width_20,width_30,width_40,width_50,width_60,width_70,width_80,width_90,width_100,length,length_width_ratio,shoulder_top,shoulder_bottom,tip_angle_top,tip_angle_bottom,above_tipangle_top,above_tipangle_bottom,created,modified,type
1073,1206,1093-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,2396.021,44.8592,24.44,42.64,41.69,29.2,17.77,13.44,11.53,9.73,7.94,6.03,0.21,123.0454,2.74,67.1842,69.8707,6.745579647,11.25068143,21.3575,24.7491,10/22/24 9:31,10/22/24 11:17,binary
1074,1206,1094-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,3393.3184,65.8076,32.9,45.28,40.63,31.95,22.85,17.46,14.28,10.9,11.21,6.88,0.32,152.1404,2.31,40.9687,21.8612,6.695382777,22.8670563,65.5052,5.8655,10/22/24 9:31,10/22/24 11:17,binary
1075,1207,1095-MAP-2024,F2,1592-ConicalxRound-F2,1592,954,1,2059.309,47.16,31.54,45.06,46.43,40.03,27.98,18.24,13.1,10.69,9.22,8.28,0.21,85.7264,1.82,31.6312,43.6137,35.07998704,3.930175546,39.8575,1.296,10/22/24 9:31,10/22/24 11:17,binary
1076,1207,1096-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,1899.6279,37.03,30.05,34.49,36.61,34.49,27.83,20,13.97,10.9,9.73,9.63,0.74,87.6024,2.37,41.6851,6.0222,40.56552949,11.56013079,12.5033,32.4168,10/22/24 9:31,10/22/24 11:17,binary
1077,1207,1097-MAP-2024,F2,1592-ConicalxRound-F2,1592,954,1,1732.2341,36.0512,23.68,33.33,33.85,28.92,21.69,13.83,11.42,9.43,9.12,7.13,0.31,94.5296,2.62,43.9651,30.7196,1.988637856,26.24585794,20.6591,7.9627,10/22/24 9:31,10/22/24 11:18,binary
1078,1207,1098-MAP-2024,F2,1592-ConicalxRound-F2,1592,929,1,6395.5546,71.554,14.2,54.88,52.51,48.74,46.48,38.2,29.59,22.17,19.48,15.92,1.61,180.0148,2.52,71.2148,59.3244,26.73582796,5.329332949,0.6831,149.4689,10/22/24 9:31,10/22/24 11:18,binary
1079,1207,1099-MAP-2024,F2,1592-ConicalxRound-F2,1592,929,1,4173.493,57.8888,22.06,55.74,56.27,49.6,38.63,28.51,20.23,14.96,13.02,12.37,0.97,131.7024,2.28,99.8466,26.4436,17.28742103,37.05652819,51.5789,63.7819,10/22/24 9:31,10/22/24 11:18,binary
1080,1207,1100-MAP-2024,F2,1592-ConicalxRound-F2,1592,949,1,6883.7132,86.1118,14.44,71.88,84.53,84.43,74.2,55.86,31.51,21.29,16.44,11.7,3.48,143.1332,1.66,201.8423,310.4121,14.96427968,9.162347046,3.2772,62.4224,10/22/24 9:31,10/22/24 11:18,binary
1081,1207,1101-MAP-2024,F2,1592-ConicalxRound-F2,1592,949,1,10205.6187,102.9758,13.49,88.11,101.71,100.45,86.32,66.3,47.85,32.99,21.82,18.02,0.11,170.5372,1.66,354.26,328.4756,33.7410878,5.294143007,155.3172,13.8864,10/22/24 9:31,10/22/24 11:18,binary
1082,1207,1102-MAP-2024,F2,1592-ConicalxRound-F2,1592,928,1,5531.8801,81.6046,15.31,76.86,81.17,76.97,66.08,51.21,34.39,23.07,17.46,12.94,0.11,116.3162,1.43,132.803,72.27,7.898136903,34.2971524,0,114.8371,10/22/24 9:31,10/22/24 11:18,binary
